,ReportId,Created by,Report Name,DatasetId,createdDateTime,modifiedDateTime,workspaceId
0,fc42eb00-a615-4b7e-9321-2c480cc976bf,fbpbfinal@spibumpy.onmicrosoft.com,Sales Report,2f023720-2c6e-45f1-ab36-40609ce08ab4,2024-01-19T10:31:53.267Z,2024-01-19T10:31:53.267Z,df9b746e-1b1e-4534-972a-a6ccf9f3715a
1,db9a58d8-b2d7-45bc-9b1a-3413e39e9897,fbpbfinal@spibumpy.onmicrosoft.com,Revenue by Item.pbix,39747595-c3a2-46d9-a252-0577c3321eee,2024-01-19T13:06:02.98Z,2024-01-19T13:06:02.98Z,df9b746e-1b1e-4534-972a-a6ccf9f3715a
2,b599ebab-8c0f-47bc-9f62-09f205bb0adf,fbpbfinal@spibumpy.onmicrosoft.com,Profit Reporting,fe2fde03-c262-4b61-957a-4101c5d6de3d,2024-01-31T11:03:22.13Z,2024-01-31T11:08:53.84Z,df9b746e-1b1e-4534-972a-a6ccf9f3715a
3,8af2d818-b319-4f41-bcd9-c686db3dec9a,fbpbfinal@spibumpy.onmicrosoft.com,CMS Medicare Part D Star Schema Template ,abb657fa-da2b-4856-abbd-823904ae3f09,2024-02-02T11:26:39.333Z,2024-08-08T11:09:35.463Z,df9b746e-1b1e-4534-972a-a6ccf9f3715a
4,d0f7a211-9901-48f3-bbad-1ab4fee69b7b,fbpbfinal@spibumpy.onmicrosoft.com,CMS Medicare Part D Star Schema Template - Copy,abb657fa-da2b-4856-abbd-823904ae3f09,2024-02-05T06:42:42.773Z,2024-02-05T06:42:42.773Z,df9b746e-1b1e-4534-972a-a6ccf9f3715a
5,774caf17-3cc7-4940-aa87-4184da93381e,AdminInsights-03f21113-b629-4c7f-97e4-5e2a9d5df78e,Feature Usage and Adoption,94f2696a-d844-44fd-8f34-9855b15bb511,2024-03-27T09:29:43.143Z,2024-07-31T07:23:59.257Z,451bf96a-f3c8-4013-a4b9-6d2b9ecb7479
6,76551c26-3a15-4002-ab80-51b2102a16db,AdminInsights-03f21113-b629-4c7f-97e4-5e2a9d5df78e,Purview Hub,a8b96233-2f81-49d3-82fc-729327eb8e3d,2024-03-27T09:29:48.293Z,2024-07-11T14:23:03.917Z,451bf96a-f3c8-4013-a4b9-6d2b9ecb7479
7,3d8b3858-d924-4bfc-8c0c-dbf97138d708,fbpbfinal@spibumpy.onmicrosoft.com,CMS Medicare Part D Star Schema Template Direct,76088d07-23fa-46b6-86c3-8adea7e3bea4,2024-04-05T01:35:37.503Z,2024-04-05T01:35:37.503Z,df9b746e-1b1e-4534-972a-a6ccf9f3715a
8,ae9a4af6-0b99-45b6-92b4-34d043c4391d,fbpbfinal@spibumpy.onmicrosoft.com,postdata,1caf1955-2cd3-455f-8dd9-12bf465345bc,2024-04-16T16:38:02.277Z,2024-04-17T06:00:37.91Z,df9b746e-1b1e-4534-972a-a6ccf9f3715a
9,5ade6a0b-8af6-4f75-bfa9-2719616fd192,fbpbfinal@spibumpy.onmicrosoft.com,getcurrentuser,cf25c3ff-7d27-49b0-adbd-2561fb361cb5,2024-04-16T17:04:20.037Z,2024-04-18T14:17:54.793Z,df9b746e-1b1e-4534-972a-a6ccf9f3715a
